act_name,act_year
Agricultural Credit,1987.0
Computer Security,1987.0
Civil Rights Restoration,1987.0
Supreme Court Case Selections,1988.0
Water Resources Development,1988.0
Anti Drug Abuse,1988.0
Judicial Improvements,1990.0
Immigration,1990.0
Omnibus Budget Reconciliation,1990.0
Launch Services Purchase,1990.0
Water Resources Development,1990.0
Water Resources Development,1990.0
High Performance Computing And Communication,1991.0
Civil Rights,1991.0
Chinese Student Protection,1992.0
Water Resources Development,1992.0
National Voter Registration,1993.0
Omnibus Budget Reconciliation,1993.0
Dietary Supplement Health And Education,1994.0
National Highway System Designation,1995.0
Telecommunications,1996.0
Cuban Liberty And Democratic Solidarity,1996.0
Water Resources Development,1996.0
Balanced Budget,1997.0
Taxpayer Relief,1997.0
Water Resources Development,1999.0
Water Resources Development,2000.0
Iran Nonproliferation,2000.0
Commodity Futures Modernization,2000.0
Farm Security And Rural Investment,2002.0
Trade,2002.0
E Government,2002.0
Do Not Call Implementation,2003.0
Jobs And Growth Tax Relief Reconciliation,2003.0
Prison Rape Elimination,2003.0
Gao Human Capital Reform,2004.0
North Korean Human Rights,2004.0
Belarus Democracy,2004.0
Stolen Valor,2005.0
Deficit Reduction,2005.0
Tax Increase Prevention And Reconciliation,2005.0
Caribbean National Forest,2005.0
Transportation Equity,2005.0
Energy Policy,2005.0
Presidential $ 1 Coin,2005.0
Class Action Fairness,2005.0
Tax Relief And Health,2006.0
Federal Funding Accountability And Transparency,2006.0
Military Commissions,2006.0
"Safe Port Act, Pub . L . 109 347, 120 Stat . 1884 ( Including Unlawful Internet Gambling Enforcement",2006.0
Secure Fence,2006.0
House Page Board Revision,2007.0
Preserving United States Attorney Independence,2007.0
Foreign Investment And National Security,2007.0
9 / 11 Commission,2007.0
Protect America,2007.0
Water Resources Development,2007.0
Energy Independence And Security,2007.0
Food And Energy Security,2007.0
Emergency Economic Stabilization,2008.0
Housing And Economic Recovery,2008.0
Fisa Amendments,2008.0
Economic Stimulus,2008.0
Tom Lantos Block Burmese Jade ( Junta' S Anti Democratic Efforts,2008.0
Supplemental Appropriations,2008.0
Lilly Ledbetter Fair Pay,2009.0
American Recovery And Reinvestment,2009.0
Omnibus Appropriations,2009.0
Omnibus Public Land Management,2009.0
Fraud Enforcement And Recovery,2009.0
Helping Families Save Their Homes,2009.0
Weapon Systems Acquisition Reform,2009.0
Credit Card,2009.0
Supplemental Appropriations,2009.0
"Worker, Homeownership, And Business Assistance",2009.0
Travel Promotion,2009.0
James Zadroga 9 / 11 Health And Compensation,2010.0
Caregivers And Veterans Omnibus Health Services,2010.0
"Comprehensive Iran Sanctions, Accountability, And Divestment",2010.0
Small Business Jobs And Credit,2010.0
Claims Resolution,2010.0
"Healthy, Hunger Free Kids",2010.0
"Tax Relief, Unemployment Insurance Reauthorization, And Job Creation",2010.0
Health Care And Education Reconciliation,2010.0
"Don' T Ask, Don' T Tell Repeal",2010.0
Fisa Sunsets Extension,2011.0
Belarus Democracy And Human Rights,2011.0
Kate Puzey Peace Corps Volunteer Protection,2011.0
America' S Cup,2011.0
Appeal Time Clarification,2011.0
National Guard And Reservist Debt Relief Extension,2011.0
Hoover Power Allocation,2011.0
Civilian Service Recognition,2011.0
United States Commission On International Religious Freedom Reform And Reauthorization,2011.0
Asia Pacific Economic Cooperation Business Travel Cards,2011.0
Temporary Payroll Tax Cut Continuation,2011.0
Sugar Loaf Fire Protection District Land Exchange,2011.0
European Union Emissions Trading Scheme Prohibition,2011.0
Insular Areas,2011.0
"Pipeline Safety, Regulatory Certainty, And Job Creation",2011.0
Mt . Andrea Lawrence Designation,2011.0
Federal Restricted Buildings And Grounds Improvement,2011.0
Presidential Appointment Efficiency And Streamlining,2011.0
D . C . Courts And Public Defender Service,2011.0
Veterans' Compensation Cost Of Living Adjustment,2011.0
Federal Courts Jurisdiction And Venue Clarification,2011.0
Ski Area Recreational Opportunity Enhancement,2011.0
Comprehensive 1099 Taxpayer Protection And Repayment Of Exchange Subsidy Overpayments,2011.0
Patriot Sunsets Extension,2011.0
Removal Clarification,2011.0
Airport And Airway Extension,2011.0
Small Business Additional Temporary Extension,2011.0
Airport And Airway Extension,2011.0
Budget Control,2011.0
Restoring Gi Bill Fairness,2011.0
Airport And Airway Extension,2011.0
Surface And Air Transportation Programs Extension,2011.0
Combating Autism Reauthorization,2011.0
Surface Transportation Extension,2011.0
Veterans Health Care Facilities Capital Improvement,2011.0
Trade Adjustment Assistance Extension,2011.0
United States Parole Commission Extension,2011.0
Airport And Airway Extension,2011.0
Fisa Amendments Act Reauthorization,2012.0
American Taxpayer Relief,2012.0
Surface Transportation Extension,2012.0
Hatch Act Modernization,2012.0
Gao Mandates Revision,2012.0
Barona Band Of Mission Indians Land Transfer Clarification,2012.0
21St Century Language,2012.0
No Hassle Flying,2012.0
Western Hemisphere,2012.0
Medicare Ivig Access And Strengthening Medicare And Repaying Taxpayers,2012.0
Public Interest Declassification Board Reauthorization,2012.0
Lake Thunderbird Efficient Use,2012.0
Temporary Bankruptcy Judgeships Extension,2012.0
Improving Transparency Of Education Opportunities For Veterans,2012.0
Export Import Bank Reauthorization,2012.0
Department Of State Rewards Program Update And Technical Corrections,2012.0
Intercountry Adoption Universal Accreditation,2012.0
Coast Guard And Maritime Transportation,2012.0
Protect Our Kids,2012.0
Endangered Fish Recovery Programs Extension,2012.0
Improper Payments Elimination And Recovery Improvement,2012.0
Foreign And Economic Espionage Penalty Enhancement,2012.0
Investigative Assistance For Violent Crimes,2012.0
North Korean Refugee Adoption,2012.0
Dignified Burial And Other Veterans' Benefits Improvement,2012.0
Video Privacy Protection Act Amendments,2012.0
Former Presidents Protection,2012.0
Katie Sepich Enhanced Dna Collection,2012.0
Drywall Safety,2012.0
"Bridgeport Indian Colony Land Trust, Health, And Economic Development",2012.0
Theft Of Trade Secrets Clarification,2012.0
March Of Dimes Commemorative Coin,2012.0
Patent Law Treaties Implementation,2012.0
Border Tunnel Prevention,2012.0
John F . Kennedy Center Reauthorization,2012.0
Temporary Surface Transportation Extension,2012.0
Former Charleston Naval Base Land Exchange,2012.0
Hearth,2012.0
Airport And Airway Extension,2012.0
Ultralight Aircraft Smuggling Prevention,2012.0
Honoring America' S Veterans And Caring For Camp Lejeune Families,2012.0
Sequestration Transparency,2012.0
Faa Modernization And Reform,2012.0
Middle Class Tax Relief And Job Creation,2012.0
Iran Threat Reduction And Syria Human Rights,2012.0
Haqqani Network Terrorist Designation,2012.0
United States Israel Enhanced Security Cooperation,2012.0
Pesticide Registration Improvement Extension,2012.0
Child Protection,2012.0
Magnitsky Bill ( Russia And Moldova Jackson Vanik Repeal And Sergei Magnitsky Rule Of Law Accountability,2012.0
Ambassador James R . Lilley And Congressman Stephen J . Solarz North Korea Human Rights Reauthorization,2012.0
Taking Essential Steps For Testing,2012.0
Veterans' Compensation Cost Of Living Adjustment,2012.0
Military Commercial Driver' S License,2012.0
Whistleblower Protection Enhancement,2012.0
Fda User Fee Corrections,2012.0
Va Major Construction Authorization And Expiring Authorities Extension,2012.0
Divisional Realignment,2012.0
Billfish Conservation,2012.0
Lowell National Historical Park Land Exchange,2012.0
Minnesota Chippewa Tribe Judgment Fund Distribution,2012.0
Government Charge Card Abuse Prevention,2012.0
Va Expiring Authorities Extension,2013.0
National Integrated Drought Information System Reauthorization,2013.0
Fallen Firefighters Assistance Tax Clarification,2013.0
Community Fire Safety,2013.0
National Defense Authorization Act For Fiscal Year 2014 Military Construction Authorization Act For Fiscal Year 2014 Military Land Withdrawals,2013.0
Bipartisan Budget,2013.0
Native American Veterans' Memorial Amendments,2013.0
Fond Du Lac Band Of Lake Superior Chippewa Non Intercourse,2013.0
"Albuquerque, New Mexico, Federal Land Conveyance",2013.0
Death In Custody Reporting,2013.0
Permanent Electronic Duck Stamp,2013.0
Children' S Hospital Gme Support Reauthorization,2013.0
Kilah Davenport Child Protection,2013.0
Water Resources Reform And Development,2013.0
World War Ii Memorial Prayer,2013.0
Multinational Species Conservation Funds Semipostal Stamp Reauthorization,2013.0
Victims Of Child Abuse Act Reauthorization,2013.0
Veterans Paralympic,2013.0
Homeowner Flood Insurance Affordability,2013.0
Pepfar Stewardship And Oversight,2013.0
Missing Children' S Assistance Reauthorization,2013.0
Small Airplane Revitalization,2013.0
"Division A : Disaster Relief Appropriations Act, 2013 Division B : Sandy Recovery Improvement",2013.0
"No Budget, No Pay",2013.0
Violence Against Women Reauthorization,2013.0
Pandemic And All Hazards Preparedness Reauthorization,2013.0
Reducing Flight Delays,2013.0
Stolen Valor,2013.0
Prematurity Research Expansion And Education For Mothers Who Deliver Infants Early Reauthorization ( Preemie Reauthorization ) Act National Pediatric Research Network,2013.0
Vietnam Veterans Donor Acknowledgment,2013.0
Hydropower Regulatory Efficiency,2013.0
For Vets,2013.0
Animal Drug And Animal Generic Drug User Fee Reauthorization,2013.0
Reverse Mortgage Stabilization,2013.0
Natchez Trace Parkway Land Conveyance,2013.0
Veterans' Compensation Cost Of Living Adjustment,2013.0
United States Parole Commission Extension,2013.0
Improving Job Opportunities For Veterans,2013.0
Helium Stewardship,2013.0
Bipartisan Student Loan Certainty,2013.0
Organization Of American States Revitalization And Reform,2013.0
Congressional Award Program Reauthorization,2013.0
Home Heating Emergency Assistance Through Transportation,2014.0
Money Remittances Improvement,2014.0
Improving Trauma Care,2014.0
Sean And David Goldman International Child Abduction Prevention And Return,2014.0
"Veterans' Access To Care Through Choice, Accountability, And Transparency",2014.0
Veterinary Medicine Mobility,2014.0
Gold Medal Technical Corrections,2014.0
North Texas Invasive Species Barrier,2014.0
Monuments Men Recognition,2014.0
Digital Accountability And Transparency,2014.0
Agriculture,2014.0
"Sovereignty, Integrity, Democracy, And Economic Stability Of Ukraine",2014.0
Protecting Access To Medicare,2014.0
Harmful Algal Bloom And Hypoxia Research And Control Amendments,2014.0
Autism Cares,2014.0
Emergency Afghan Allies Extension,2014.0
Near East And South Central Asia Religious Freedom,2014.0
Federal Duck Stamp,2014.0
Propane Education And Research Enhancement,2014.0
Ukraine Freedom Support,2014.0
Chesapeake Bay Accountability And Recovery,2014.0
Cybersecurity Enhancement,2014.0
Border Patrol Agent Pay Reform,2014.0
Venezuela Defense Of Human Rights And Civil Society,2014.0
Eps Service Parts,2014.0
Insurance Capital Standards Clarification,2014.0
National Cybersecurity Protection,2014.0
Federal Information Security Modernization,2014.0
Dhs Oig Mandates Revision,2014.0
Foreclosure Relief And Extension For Servicemembers,2014.0
World,2014.0
United States Israel Strategic Partnership,2014.0
Highway And Transportation Funding,2014.0
Howard Coble Coast Guard And Maritime Transportation,2014.0
Designer Anabolic Steroid Control,2014.0
Aviation Security Stakeholder Participation,2014.0
Protecting And Securing Chemical Facilities From Terrorist Attacks,2014.0
Veterans Traumatic Brain Injury Care Improvement,2014.0
Assessing Progress In Haiti,2014.0
Tribal General Welfare Exclusion,2014.0
Examination And Supervisory Privilege Parity,2014.0
Department Of Veterans Affairs Expiring Authorities,2014.0
Emergency Medical Services For Children Reauthorization,2014.0
Debbie Smith Reauthorization,2014.0
Impact,2014.0
Veterans' Compensation Cost Of Living Adjustment,2014.0
Government Reports Elimination,2014.0
Traumatic Brain Injury Reauthorization,2014.0
"Enhance Labeling, Accessing, And Branding Of Electronic Licenses",2014.0
Stela Reauthorization,2014.0
Bill Williams River Water Rights Settlement,2014.0
Blackfoot River Land Exchange,2014.0
Newborn Screening Saves Lives Reauthorization,2014.0
Crooked River Collaborative Water Security And Jobs,2014.0
Child Care And Development Block Grant,2014.0
Federal Improper Payments Coordination,2015.0
Child Nicotine Poisoning Prevention,2015.0
Microbead Free Waters,2015.0
"Interior, Environment, And Related Agencies Appropriations Act, 2016, Department Of Labor Appropriations Act, 2016, Department Of Health And Human Services Appropriations Act, 2016, Department Of Education Appropriations Act, 2016, Departments Of Labor, Health And Human Services, And Education, And Related Agencies Appropriations Act, 2016, Legislative Branch Appropriations Act, 2016, Military Construction, Veterans Affairs, And Related Agencies Appropriations Act, 2016, Department Of State, Foreign Operations, And Related Programs Appropriations Act, 2016, Department Of Transportation Appropriations Act, 2016, Department Of Housing And Urban Development Appropriations Act, 2016, Transportation, Housing And Urban Development, And Related Agencies Appropriations Act, 2016, Intelligence Authorization Act For Fiscal Year 2016, Cybersecurity",2015.0
Emergency Information Improvement,2015.0
Surface Transportation Board Reauthorization,2015.0
National Guard And Reservist Debt Relief Extension,2015.0
Protecting Our Infants,2015.0
Federal Perkins Loan Program Extension,2015.0
Stem Cell Therapeutic And Research Reauthorization,2015.0
Hizballah International Financing Prevention,2015.0
Breast Cancer Research Stamp Reauthorization,2015.0
"Fixing America S Surface Transportation Act, With : Federal Public Transportation",2015.0
Equity In Government Compensation,2015.0
Securing Fairness In Regulatory Timing,2015.0
"District Of Columbia Courts, Public Defender Service, And Court Services And Offender Supervision Agency",2015.0
Edward' Ted' Kaufman And Michael Leavitt Presidential Transitions Improvements,2015.0
Electrify Africa,2015.0
Filipino Veterans Of World War Ii Congressional Gold Medal,2015.0
Fraud Reduction And Data Analytics,2015.0
Federal Law Enforcement Self Defense And Protection,2015.0
Bulletproof Vest Partnership Grant Program Reauthorization,2015.0
Transnational Drug Trafficking,2015.0
Department Of Homeland Security Headquarters Consolidation Accountability,2015.0
National Pow / Mia Remembrance,2015.0
Coast Guard Authorization,2015.0
Integrated Public Alert And Warning System Modernization,2015.0
Competitive Service,2015.0
"U . S . Commercial Space Launch Competitiveness Act, With : Spurring Private Aerospace Competitiveness And Entrepreneurship",2015.0
Eric Williams Correctional Officer Protection,2015.0
Directing Dollars To Disaster Relief,2015.0
Judicial Redress,2015.0
Trade Facilitation And Trade Enforcement,2015.0
United States Jordan Defense Cooperation,2015.0
Foreclosure Relief And Extension For Servicemembers,2015.0
Recovery Improvements For Small Entities After Disaster,2015.0
Border Jobs For Veterans,2015.0
Librarian Of Congress Succession Modernization,2015.0
Medicare Independence At Home Medical Practice Demonstration Improvement,2015.0
Veterans Entrepreneurship,2015.0
Trade Preferences Extension,2015.0
"Defending Public Safety Employees' Retirement Act, With : Bipartisan Congressional Trade Priorities And Accountability",2015.0
Girls Count,2015.0
Usa Freedom Act : Uniting And Strengthening America By Fulfilling Rights And Ensuring Effective Discipline Over Monitoring,2015.0
Justice For Victims Of Trafficking,2015.0
Highway And Transportation Funding,2015.0
Iran Nuclear Agreement Review,2015.0
Rafael Ramos And Wenjian Liu National Blue Alert,2015.0
Energy Efficiency Improvement,2015.0
Medicare Access And Chip Reauthorization,2015.0
Slain Officer Family Support,2015.0
Office Of Compliance Administrative And Technical Corrections,2015.0
Terrorism Risk Insurance Program Reauthorization,2015.0
Steve Gleason,2015.0
Surface Transportation Extension,2015.0
Surface Transportation And Veterans Health Care Choice Improvement,2015.0
Need Based Educational Aid,2015.0
"Illegal, Unreported, And Unregulated Fishing Enforcement",2015.0
Dhs Social Media Improvement,2015.0
Wounded Warriors Federal Leave,2015.0
Bipartisan Budget,2015.0
Surface Transportation Extension,2015.0
United States Commission On International Religious Freedom Reauthorization,2015.0
Federal Vehicle Repair Cost Savings,2015.0
Ensuring Access To Clinical Trials,2015.0
Gold Star Fathers,2015.0
Stem Education,2015.0
Department Of Veterans Affairs Expiring Authorities,2015.0
Airport And Airway Extension,2015.0
Agriculture Reauthorizations,2015.0
Tsa Office Of Inspection Accountability,2015.0
E Warranty,2015.0
Dhs It Duplication Reduction,2015.0
Gerardo Hernandez Airport Security,2015.0
"21St Century Cures Act, With : Helping Families In Mental Health Crisis Reform",2016.0
North Korea Sanctions And Policy Enhancement,2016.0
Library Of Congress Sound Recording And Film Preservation Programs Reauthorization,2016.0
Department Of Veterans Affairs Dental Insurance Reauthorization,2016.0
West Los Angeles Leasing,2016.0
Department Of Veterans Affairs Expiring Authorities,2016.0
Advancing Hope,2016.0
"Eliminate, Neutralize, And Disrupt Wildlife Trafficking",2016.0
Survivors' Bill Of Rights,2016.0
Clarification Of Treatment Of Electronic Sales Of Livestock,2016.0
United States Appreciation For Olympians And Paralympians,2016.0
Prescribed Burn Approval,2016.0
Better Online Ticket Sales,2016.0
Charles Duncan Buried With Honor,2016.0
Federal Aviation Administration Veteran Transition Improvement,2016.0
Consumer Review Fairness,2016.0
Veterans Mobility Safety,2016.0
Making Electronic Government Accountable By Yielding Tangible Efficiencies,2016.0
Housing Opportunity Through Modernization,2016.0
Protecting Our Lives By Initiating Cops Expansion,2016.0
Comprehensive Addiction And Recovery,2016.0
Evidence Based Policymaking Commission,2016.0
Airport And Airway Extension,2016.0
Older Americans Act Reauthorization,2016.0
Ensuring Patient Access And Effective Drug Enforcement,2016.0
Defend Trade Secrets,2016.0
Fallen Heroes Flag,2016.0
American Manufacturing Competitiveness,2016.0
Outdoor Recreation Jobs And Economic Impact,2016.0
"21St Century Act, With : Rural Healthcare Connectivity",2016.0
Foia Improvement,2016.0
"Faa Extension, Safety, And Security",2016.0
Foreign Aid Transparency And Accountability,2016.0
Venezuela Defense Of Human Rights And Civil Society Extension,2016.0
Global Food Security,2016.0
United States Semiquincentennial Commission,2016.0
Veterans' Compensation Cola,2016.0
Protecting Our Infrastructure Of Pipelines And Enhancing Safety,2016.0
Gao Civilian Task And Delivery Order Protest Authority,2016.0
Department Of Defense And Full Year Continuing Appropriations,
Intelligence Authorization,
Leahy Smith America Invents,
Continuing Appropriations,
Child And Family Services Improvement And Innovation,
Short Term Tanf Extension,
Continuing Appropriations,
United States Korea Free Trade Agreement Implementation,
United States Colombia Trade Promotion Agreement Implementation,
United States Panama Trade Promotion Agreement Implementation,
Consolidated And Further Continuing Appropriations,
Fort Pulaski National Monument Lease Authorization,
Box Elder Utah Land Conveyance,
Consolidated Appropriations,
Fallen Heroes Of 9 / 11,
Disaster Relief Appropriations,
National Defense Authorization,
Armed Forces,
Intelligence Authorization,
Soar Technical Corrections,
St . Croix River Crossing Project Authorization,
Hale Scouts,
United States Marshals Service 225Th Anniversary Commemorative Coin,
Stop Trading On Congressional Knowledge,
Jumpstart Our Business Startups,
Brian A . Terry Memorial,
National Flood Insurance Program Extension,
Sequoia And King Canyon National Parks Backcountry Access,
Salmon Lake Land Selection Resolution,
East Bench Irrigation District Water Contract Extension,
Church Plan Investment Clarification,
Food And Drug Administration Safety And Innovation,
District Of Columbia Special Election Reform,
Veteran Skills To Jobs,
Raoul Wallenberg Centennial Celebration,
National Baseball Hall Of Fame Commemorative Coin,
La Pine Land Conveyance,
Wallowa Forest Service Compound Conveyance,
Lions Clubs International Century Of Service Commemorative Coin,
Safe Doses,
Reporting Efficiency Improvement,
Hazardous Waste Electronic Manifest Establishment,
New York City Natural Gas Supply Enhancement,
Mark Twain Commemorative Coin,
Jaime Zapata Border Enforcement Security Task Force,
American Energy Manufacturing Technical Corrections,
Dart,
Hatch,
Fisa Amendments,
National Defense Authorization,
Pinnacles National Park,
Video Privacy Protection,
Clothe A Homeless Hero,
World War I Centennial Commission,
Space Exploration Sustainability,
Intelligence Authorization,
Uninterrupted Scholars,
Lieutenant Ryan Patrick Jones Post Office Designation,
Division A : Disaster Relief Appropriations,
Consolidated And Further Continuing Appropriations,
District Of Columbia Chief Financial Officer Vacancy,
Freedom To Fish,
South Utah Valley Electric Conveyance,
Bonneville Unit Clean Hydropower Facilitation,
Bureau Of Reclamation Small Conduit Hydropower Development And Rural Jobs,
Helping Heroes Fly,
Powell Shooting Range Land Conveyance,
Denali National Park Improvement,
Minuteman Missile National Historic Site Boundary Modification,
Pay Our Military,
Continuing Appropriations,
School Access To Emergency Epinephrine,
Streamlining Claims Processing For Federal Contractor Employees,
Hiv Organ Policy Equity,
Drug Quality And Security,
Preemie Reauthorization,
Prematurity Research Expansion And Education For Mothers Who Deliver Infants Early Reauthorization ( Preemie Reauthorization,
Alicia Dawn Koehl Respect For National Cemeteries,
National Defense Authorization,
Alaska Native Tribal Health Consortium Land Transfer,
Accuracy For Adoptees,
Consolidated Appropriations,
Poison Center Network,
Opm Ig,
Support For United States Republic Of Korea Civil Nuclear Cooperation,
South Utah Valley Electric Conveyance,
Temporary Debt Limit Extension,
Sleeping Bear Dunes National Lakeshore Conservation And Recreation,
Philippines Charitable Giving Assistance,
Gabriella Miller Kids First Research,
Cooperative And Small Employer Charity Pension Flexibility,
Green Mountain Lookout Heritage Protection,
American Fighter Aces Congressional Gold Medal,
Sandia Pueblo Settlement Technical Amendment,
Collinsville Renewable Energy Promotion,
Reliable Home Heating,
Intelligence Authorization,
Workforce Innovation And Opportunity,
Black Hills Cemetery,
Distinguished Flying Cross National Memorial,
Hill Creek Cultural Preservation And Energy Development,
Pascua Yaqui Tribe Trust Land,
Three Kids Mine Remediation And Reclamation,
Idaho Wilderness Water Resources Protection,
North Cascades National Park Service Complex Fish Stocking,
Lake Hill Administrative Site Affordable Housing,
Huna Tlingit Traditional Gull Egg Use,
Unlocking Consumer Choice And Wireless Competition,
Victims Of Child Abuse,
Pyramid Lake Paiute Tribe Fish Springs Ranch Settlement,
All Circuit Review Extension,
Gun Lake Trust Land Reaffirmation,
Preventing Sex Trafficking And Strengthening Families,
Presidential And Federal Records,
Clifford P . Hansen Federal Courthouse Conveyance,
Sunscreen Innovation,
World War I American Veterans Centennial Commemorative Coin,
Honor Flight,
Fda Priority Review Voucher Program,
Consolidated And Further Continuing Appropriations,
Sudden Unexpected Death Data Enhancement And Awareness,
Transportation Security Acquisition Reform,
Cybersecurity Workforce Assessment,
American Savings Promotion,
Credit Union Share Insurance Fund Parity,
Smart Savings,
"May 31, 1918",
Early,
No Social Security For Nazis,
United States Anti Doping Agency Reauthorization,
Collectible Coin Protection,
Grand Portage Band Per Capita Adjustment,
"Carl Levin And Howard P . "" Buck "" Mckeon National Defense Authorization",
Intelligence Authorization,
Clay Hunt Sav,
Protecting Volunteer Firefighters And Emergency Responders,
Department Of Homeland Security Appropriations,
Don' T Tax Our Fallen Public Safety Heroes,
Wioa Technical Amendments,
Construction Authorization And Choice Improvement,
Usa Freedom,
Defending Public Safety Employees' Retirement,
